generation,candidate,rank,crowding,detection_time,beta_detected,migration,quarantine_threshold,death_fraction,peak_fraction,raw_death_fraction,raw_peak_fraction
5,17,16,Inf,5,0.0742880959263757,0.1479514603348788,0.09224234429443579,7.123657765910102,7.992656875834445,0.13033333333333333,0.9993324432576769
5,18,4,Inf,5,0.09530430004562167,0.0,0.0721397530718554,0.3819999999999999,0.6666666666666665,0.048666666666666664,0.3333333333333333
6,1,1,Inf,2,0.01601791598100073,0.20323671300693968,0.10198848581858364,0.0,0.003,0.0,0.003
6,2,3,Inf,2,0.024077824921176442,0.20910328820528848,0.09119240455169242,0.0,0.006333333333333333,0.0,0.006333333333333333
6,3,4,Inf,7,0.06380394673482281,0.0,0.09417185501243426,0.38099999999999995,0.6666666666666665,0.04766666666666667,0.3333333333333333
6,4,5,Inf,5,0.09530430004562167,0.0,0.0721397530718554,0.3819999999999999,0.6666666666666665,0.048666666666666664,0.3333333333333333
6,5,6,Inf,5,0.04349034883158841,0.0,0.0917213683006178,0.38333333333333325,0.6666666666666665,0.05,0.3333333333333333
6,6,11,Inf,3,0.04124434792351286,0.060302074900893086,0.0741230642699985,2.0771620626151015,2.517411602209945,0.06133333333333333,0.5015828729281768
6,7,12,Inf,5,0.04670328797068087,0.006128676888594271,0.10925082563452353,3.6502315729608914,4.222488063590314,0.08433333333333333,0.6565898239627558
6,8,14,Inf,9,0.09804864980899027,0.00508784514429822,0.11340002042237025,4.93631670769481,5.6126150451309575,0.10666666666666667,0.7829650041028143
6,9,15,Inf,5,0.09375087096143461,0.012219805001069698,0.07710878838507129,6.1153595047934015,6.888295455272742,0.126,0.8989359504793402
6,10,8,Inf,7,0.0705029551771798,0.000530887983094374,0.09046618369181611,0.39811185234600865,0.6825563709139428,0.050333333333333334,0.3347778519012675
6,11,13,Inf,7,0.0980723256029974,0.010629412194866954,0.08498673189345544,4.521313879909304,5.1700452679002336,0.094,0.7427313879909303
6,12,17,Inf,3,0.04550296148185149,0.0758839195136089,0.08771549257812102,7.0317291280148435,7.9051020408163275,0.118,0.9913729128014843
6,13,17,Inf,3,0.04345190399304334,0.10957494432625747,0.13208349938495476,7.040626880667484,7.888489568734233,0.142,0.9898626880667485
6,14,10,Inf,3,0.02780889819123891,0.09269802438754236,0.09165289335561036,2.035206506364922,2.476760490334748,0.05633333333333333,0.4978873173031589
6,15,9,Inf,3,0.01,0.15209544002284386,0.11134124304666439,1.9504122137404583,2.375053435114504,0.064,0.4886412213740458
6,16,2,Inf,2,0.04485954696579811,0.16438620566074133,0.10835650701945203,0.0,0.004333333333333333,0.0,0.004333333333333333
6,17,16,Inf,3,0.02969395289900557,0.13634369637385524,0.08326542697575902,6.992209956170242,7.885464285120601,0.09633333333333334,0.989587662283691
6,18,7,Inf,5,0.06703153176693093,0.0,0.0729219007285747,0.3856666666666666,0.6666666666666665,0.052333333333333336,0.3333333333333333
7,1,1,Inf,2,0.01601791598100073,0.20323671300693968,0.10198848581858364,0.0,0.003,0.0,0.003
7,2,2,Inf,2,0.04485954696579811,0.16438620566074133,0.10835650701945203,0.0,0.004333333333333333,0.0,0.004333333333333333
7,3,3,Inf,2,0.024077824921176442,0.20910328820528848,0.09119240455169242,0.0,0.006333333333333333,0.0,0.006333333333333333
7,4,8,Inf,7,0.06380394673482281,0.0,0.09417185501243426,0.38099999999999995,0.6666666666666665,0.04766666666666667,0.3333333333333333
