philosophers,right_rate,replication,variant,deadlock,events,meals,throughput,fairness,observed_until
7,0.8,5,Классическая,true,13,2,0.04,0.2857142857142857,2.416084189334579
7,0.8,5,С арбитром,false,90,28,0.56,0.9333333333333333,50.0
7,0.8,6,Классическая,true,7,0,0.0,0.0,0.8542116078233318
7,0.8,6,С арбитром,false,58,17,0.34,0.8425655976676385,50.0
7,0.8,7,Классическая,true,10,1,0.02,0.14285714285714285,1.4323050866589107
7,0.8,7,С арбитром,false,79,24,0.48,0.8396501457725948,50.0
7,0.8,8,Классическая,true,16,3,0.06,0.42857142857142855,2.193144607839762
7,0.8,8,С арбитром,false,72,22,0.44,0.7682539682539683,50.0
7,0.8,9,Классическая,true,7,0,0.0,0.0,0.6978507599726269
7,0.8,9,С арбитром,false,85,26,0.52,0.720682302771855,50.0
7,0.8,10,Классическая,true,10,1,0.02,0.14285714285714285,1.2926479642203896
7,0.8,10,С арбитром,false,79,24,0.48,0.8571428571428571,50.0
7,0.8,11,Классическая,true,10,1,0.02,0.14285714285714285,1.5578379674858305
7,0.8,11,С арбитром,false,69,21,0.42,0.863013698630137,50.0
7,0.8,12,Классическая,true,10,1,0.02,0.14285714285714285,1.3255484930883483
7,0.8,12,С арбитром,false,96,30,0.6,0.7839721254355401,50.0
7,1.2,1,Классическая,true,19,4,0.08,0.38095238095238093,2.8201837927016453
7,1.2,1,С арбитром,false,90,28,0.56,0.9655172413793104,50.0
7,1.2,2,Классическая,true,7,0,0.0,0.0,1.1966576642800542
7,1.2,2,С арбитром,false,73,22,0.44,0.9343629343629344,50.0
7,1.2,3,Классическая,true,10,1,0.02,0.14285714285714285,2.976090573231896
7,1.2,3,С арбитром,false,101,32,0.64,0.9377289377289377,50.0
7,1.2,4,Классическая,true,16,3,0.06,0.42857142857142855,2.3396267887988493
7,1.2,4,С арбитром,false,69,21,0.42,0.7590361445783133,50.0
7,1.2,5,Классическая,true,10,1,0.02,0.14285714285714285,2.0936623606007716
7,1.2,5,С арбитром,false,103,32,0.64,0.9029982363315696,50.0
7,1.2,6,Классическая,true,10,1,0.02,0.14285714285714285,4.474680868937624
7,1.2,6,С арбитром,false,72,22,0.44,0.8231292517006803,50.0
7,1.2,7,Классическая,true,7,0,0.0,0.0,0.4470714383574
7,1.2,7,С арбитром,false,84,26,0.52,0.8047619047619048,50.0
7,1.2,8,Классическая,true,10,1,0.02,0.14285714285714285,0.8877272463944568
7,1.2,8,С арбитром,false,83,26,0.52,0.8941798941798942,50.0
7,1.2,9,Классическая,true,7,0,0.0,0.0,0.49494326904908165
7,1.2,9,С арбитром,false,79,24,0.48,0.8753799392097265,50.0
7,1.2,10,Классическая,true,10,1,0.02,0.14285714285714285,1.5835932823328869
7,1.2,10,С арбитром,false,105,33,0.66,0.9315654405474765,50.0
7,1.2,11,Классическая,true,10,1,0.02,0.14285714285714285,1.2349654678323805
7,1.2,11,С арбитром,false,69,21,0.42,0.7241379310344828,50.0
7,1.2,12,Классическая,true,19,4,0.08,0.5714285714285714,4.535215697364537
7,1.2,12,С арбитром,false,101,32,0.64,0.9499072356215214,50.0
