time,black,white,total,empty,temperature,luminosity,albedo,regulation_error,control_temperature,temperature_advantage
577,0,900,900,0,29.238396951403068,1.8074999999999828,0.75,6.738396951403068,86.03933024224288,56.800933290839815
578,0,900,900,0,29.489465977134756,1.8049999999999828,0.75,6.989465977134756,85.93995096737345,56.45048499023869
579,0,900,900,0,29.10992974900278,1.802499999999983,0.75,6.609929749002781,85.8404343323651,56.730504583362325
580,0,900,900,0,28.344984334640873,1.799999999999983,0.75,5.844984334640873,85.74077995697736,57.39579562233649
581,0,900,900,0,26.96704008122318,1.797499999999983,0.75,4.467040081223178,85.64098745938865,58.67394737816548
582,0,900,900,0,26.052939452637595,1.794999999999983,0.75,3.5529394526375953,85.54105645618866,59.48811700355106
583,0,900,900,0,25.37069099865243,1.792499999999983,0.75,2.8706909986524316,85.44098656236736,60.07029556371492
584,0,900,900,0,25.01441129700425,1.7899999999999832,0.75,2.5144112970042514,85.34077739130622,60.32636609430197
585,0,900,900,0,24.295764702258893,1.7874999999999832,0.75,1.795764702258893,85.24042855477308,60.94466385251418
586,0,900,900,0,23.85110818179309,1.7849999999999833,0.75,1.3511081817930908,85.13993966290737,61.28883148111427
587,0,900,900,0,23.26322628335355,1.7824999999999833,0.75,0.7632262833535499,85.0393103242155,61.77608404086196
588,0,900,900,0,23.02388607330586,1.7799999999999834,0.75,0.5238860733058601,84.9385401455587,61.914654072252844
589,0,900,900,0,23.133839640151745,1.7774999999999834,0.75,0.633839640151745,84.83762873214764,61.70378909199589
590,0,900,900,0,22.928106588695282,1.7749999999999835,0.75,0.4281065886952824,84.73657568752643,61.80846909883114
591,0,900,900,0,22.98468400828833,1.7724999999999835,0.75,0.4846840082883297,84.63538061357356,61.65069660528523
592,0,900,900,0,22.787139004497664,1.7699999999999836,0.75,0.2871390044976643,84.5340431104799,61.74690410598224
593,0,900,900,0,22.602536170925507,1.7674999999999836,0.75,0.10253617092550726,84.43256277675032,61.83002660582481
594,0,900,900,0,22.424332603947956,1.7649999999999837,0.75,0.07566739605204376,84.33093920918847,61.75527181313643
595,0,900,900,0,22.249256648445137,1.7624999999999837,0.75,0.2507433515548634,84.22917200288785,61.47842865133299
596,0,900,900,0,21.970616024202045,1.7599999999999838,0.75,0.5293839757979555,84.12726075122194,61.097876775423984
597,0,900,900,0,22.375514373929015,1.7574999999999839,0.75,0.12448562607098523,84.02520504583696,61.40071941976597
598,0,900,900,0,22.211622086839505,1.754999999999984,0.75,0.2883779131604953,83.92300447663936,61.13462656347887
599,0,900,900,0,21.903336635569232,1.752499999999984,0.75,0.5966633644307677,83.82065863178529,60.723995267354525
600,0,900,900,0,21.943006544709238,1.749999999999984,0.75,0.5569934552907618,83.71816709767486,60.6611736423841
601,0,900,900,0,24.502837090164107,1.747499999999984,0.75,2.002837090164107,83.61552945893678,59.11269236877267
602,0,900,900,0,26.71181200758253,1.7449999999999841,0.75,4.21181200758253,83.51274529842209,56.80093329083956
603,0,900,900,0,26.959329206954372,1.7424999999999842,0.75,4.459329206954372,83.40981419719323,56.450484990238856
604,0,900,900,0,26.576231151149713,1.7399999999999842,0.75,4.076231151149713,83.306735734512,56.73050458336229
605,0,900,900,0,25.80771386549531,1.7374999999999843,0.75,3.307713865495309,83.20350948783175,57.39579562233644
606,0,900,900,0,24.426187654619294,1.7349999999999843,0.75,1.9261876546192944,83.10013503278485,58.67394737816555
607,0,900,900,0,23.508494939622963,1.7324999999999844,0.75,1.0084949396229632,82.99661194317389,59.488117003550926
608,0,900,900,0,22.822644227245565,1.7299999999999844,0.75,0.32264422724556496,82.89293979095999,60.070295563714424
609,0,900,900,0,22.462752051950602,1.7274999999999845,0.75,0.037247948049397905,82.78911814625302,60.25187019820362
610,0,900,900,0,21.740482724784954,1.7249999999999845,0.75,0.7595172752150461,82.68514657729942,59.425629302084374
611,0,900,900,0,21.29219316935884,1.7224999999999846,0.75,1.207806830641161,82.58102465047337,58.873217819832206
612,0,900,900,0,20.70066788940311,1.7199999999999847,0.75,1.7993321105968896,82.4767519302655,58.1774198196686
613,0,900,900,0,20.457673907016378,1.7174999999999847,0.75,2.0423260929836218,82.3723279792697,57.83000188628608
614,0,900,900,0,20.56396326618046,1.7149999999999848,0.75,1.9360367338195417,82.26775235817574,57.8317156243562
615,0,900,900,0,20.35455552692486,1.7124999999999848,0.75,2.145444473075141,82.16302462575672,57.517580152681575
616,0,900,900,0,20.407447733570237,1.7099999999999849,0.75,2.092552266429763,82.0581443388547,57.46559207242494
617,0,900,900,0,20.206206946393852,1.707499999999985,0.75,2.293793053606148,81.95311105237613,57.15931799876998
618,0,900,900,0,20.017897713448136,1.704999999999985,0.75,2.4821022865518643,81.84792431927292,56.865822032721056
619,0,900,900,0,19.835977085297326,1.702499999999985,0.75,2.6640229147026737,81.7425836905382,56.57856077583553
620,0,900,900,0,19.65717336074556,1.699999999999985,0.75,2.84282663925444,81.63708871518811,56.29426207593367
621,0,900,900,0,19.374794213236097,1.6974999999999851,0.75,3.125205786763903,81.53143894025594,55.90623315349204
622,0,900,900,0,19.77594323886959,1.6949999999999852,0.75,2.7240567611304094,81.42563391077782,56.201577149647406
623,0,900,900,0,19.608290779980113,1.6924999999999852,0.75,2.8917092200198873,81.31967316977938,55.92796394975949
624,0,900,900,0,19.29623426205226,1.6899999999999853,0.75,3.203765737947741,81.2135562582685,55.509790520320756
625,0,900,900,0,19.332122162252233,1.6874999999999853,0.75,3.167877837747767,81.10728271521783,55.43940487747007
626,0,900,900,0,21.88815970878412,1.6849999999999854,0.75,0.6118402912158807,81.00085207755671,57.88901178634083
627,0,900,900,0,24.093330589318423,1.6824999999999855,0.75,1.5933305893184233,80.89426388015796,56.80093329083954
628,0,900,900,0,24.337032665587135,1.6799999999999855,0.75,1.8370326655871345,80.78751765582606,56.450484990238934
629,0,900,900,0,23.950108351920633,1.6774999999999856,0.75,1.4501083519206333,80.68061293528288,56.73050458336225
630,0,900,900,0,23.177753624822213,1.6749999999999856,0.75,0.6777536248222127,80.57354924715891,57.39579562233669
631,0,900,900,0,21.79237873981067,1.6724999999999857,0.75,0.707621260189331,80.46632611797634,57.25870485778701
632,0,900,900,0,20.870826068589917,1.6699999999999857,0.75,1.629173931410083,80.35894307214079,56.22976914073071
633,0,900,900,0,20.181104068211788,1.6674999999999858,0.75,2.3188959317882123,80.25139963192652,55.432503700138305
634,0,900,900,0,19.817329223160087,1.6649999999999858,0.75,2.682670776839913,80.14369531746215,54.96102454062223
635,0,900,900,0,19.09116579420761,1.6624999999999859,0.75,3.4088342057923917,80.03582964672187,54.12699544092948
636,0,900,900,0,18.638970654393948,1.659999999999986,0.75,3.8610293456060525,79.92780213550816,53.5667727899021
637,0,900,900,0,18.04352825658059,1.657499999999986,0.75,4.45647174341941,79.81961229744248,52.86314055402306
638,0,900,900,0,17.796605571695803,1.654999999999986,0.75,4.703394428304197,79.71125964394902,52.50786521564483
639,0,900,900,0,17.898954592247915,1.652499999999986,0.75,4.6010454077520855,79.60274368424344,52.501698276491354
640,0,900,900,0,17.685594826487446,1.6499999999999861,0.75,4.814405173512554,79.49406392531945,52.1796587518069
641,0,900,900,0,17.73452326664841,1.6474999999999862,0.75,4.765476733351591,79.38521987193279,52.1197431385812
642,0,900,900,0,17.529306920611397,1.6449999999999863,0.75,4.970693079388603,79.27621102659384,51.80551794720524
643,0,900,900,0,17.3370102837199,1.6424999999999863,0.75,5.1629897162801015,79.16703688954492,51.504047173264816
644,0,900,900,0,17.15109035351455,1.6399999999999864,0.75,5.348909646485449,79.05769695875506,51.20878731226961
645,0,900,900,0,16.968275375458948,1.6374999999999864,0.75,5.531724624541052,78.94819072990141,50.91646610536036
646,0,900,900,0,16.681872969336382,1.6349999999999865,0.75,5.818127030663618,78.83851769635655,50.52039066569293
647,0,900,900,0,17.078986677265842,1.6324999999999865,0.75,5.421013322734158,78.72867734917405,50.807664026439895
648,0,900,900,0,16.90728678727554,1.6299999999999866,0.75,5.592713212724458,78.61866917707488,50.525955964350416
649,0,900,900,0,16.591170670217593,1.6274999999999866,0.75,5.908829329782407,78.5084926664336,50.09966333665119
650,0,900,900,0,16.6229867482967,1.6249999999999867,0.75,5.8770132517033,78.39814730126227,50.02113404955897
651,0,900,900,0,19.174940194423883,1.6224999999999867,0.75,3.3250598055761174,78.28763256319644,52.46257275762032
652,0,900,900,0,21.376014640642506,1.6199999999999868,0.75,1.1239853593574942,78.17694793148225,54.552962572124756
653,0,900,900,0,21.615607892720888,1.6174999999999868,0.75,0.8843921072791119,78.06609288295988,54.68170077568077
654,0,900,900,0,21.224562308686572,1.614999999999987,0.75,1.275437691313428,77.9550668920491,54.179629200735675
655,0,900,900,0,20.448073808398323,1.612499999999987,0.75,2.0519261916016767,77.84386943073496,53.291943239133275
656,0,900,900,0,19.058552590386125,1.609999999999987,0.75,3.4414474096138754,77.73249996855166,51.79105255893779
657,0,900,900,0,18.132840969018176,1.607499999999987,0.75,4.367159030981824,77.62095797256919,50.75379894158736
658,0,900,900,0,17.43894734366098,1.604999999999987,0.75,5.061052656339019,77.50924290737576,49.94819025103675
659,0,900,900,0,17.070988140760853,1.6024999999999872,0.75,5.4290118592391465,77.39735423506305,49.4683423758239
660,0,900,900,0,16.340627562698128,1.5999999999999872,0.75,6.159372437301872,77.28529141521224,48.62591897791037
661,0,900,900,0,15.884222423762303,1.5974999999999873,0.75,6.615777576237697,77.17305390487671,48.05727632863901
662,0,900,900,0,15.284557117704425,1.5949999999999873,0.75,7.215442882295575,77.06064115856636,47.34519827627078
663,0,900,900,0,15.033398555979131,1.5924999999999874,0.75,7.466601444020869,76.94805262823182,46.981451184210954
664,0,900,900,0,15.131498671255175,1.5899999999999874,0.75,7.368501328744825,76.83528776325099,46.96678643450616
665,0,900,900,0,14.913876911574786,1.5874999999999875,0.75,7.586123088425214,76.72234601040678,46.63622292198157
666,0,900,900,0,14.958530208592025,1.5849999999999875,0.75,7.541469791407975,76.60922681387656,46.567757022468584
667,0,900,900,0,14.749025509233098,1.5824999999999876,0.75,7.750974490766902,76.49592961521546,46.24495512444856
668,0,900,900,0,14.552427247509694,1.5799999999999876,0.75,7.947572752490306,76.38245385333491,45.934881100844606
669,0,900,900,0,14.362192359250352,1.5774999999999877,0.75,8.137807640749648,76.26879896449098,45.630991323741334
670,0,900,900,0,14.175049027823338,1.5749999999999877,0.75,8.324950972176662,76.15496438226558,45.33001341008891
671,0,900,900,0,13.884304810530354,1.5724999999999878,0.75,8.615695189469646,76.04094953755015,44.9252543480805
672,0,900,900,0,14.277063186619555,1.5699999999999878,0.75,8.222936813380445,75.92675385852799,45.203817045147545
673,0,900,900,0,14.100994380856044,1.567499999999988,0.75,8.399005619143956,75.81237677065612,44.91337115151216
674,0,900,900,0,13.7804957004335,1.564999999999988,0.75,8.7195042995665,75.69781769664961,44.478313397083106
675,0,900,900,0,13.807915503499725,1.562499999999988,0.75,8.692084496500275,75.58307605646542,44.390991559965144
676,0,900,900,0,16.355458898507294,1.559999999999988,0.75,6.144541101492706,75.46815126727962,46.82361016578692
677,0,900,900,0,18.55210945263637,1.5574999999999881,0.75,3.947890547363631,75.3530427434761,48.90515219611247
678,0,900,900,0,18.78726490638426,1.5549999999999882,0.75,3.7127350936157413,75.23774989662331,49.02501480300757
679,0,900,900,0,18.391767552096326,1.5524999999999882,0.75,4.108232447903674,75.12227213545876,48.51403968755508
680,0,900,900,0,17.61081324353478,1.5499999999999883,0.75,4.889186756465222,75.00660886587136,47.617422109406135
681,0,900,900,0,16.21681211271552,1.5474999999999883,0.75,6.28318788728448,74.89075949088144,46.10757160359695
682,0,900,900,0,15.286606407071615,1.5449999999999884,0.75,7.2133935929283854,74.77472341062281,45.06132981769443
683,0,900,900,0,14.588204458610289,1.5424999999999884,0.75,7.911795541389711,74.65850002232534,44.246704480935634
684,0,900,900,0,14.215722625990887,1.5399999999999885,0.75,8.284277374009113,74.54208872029301,43.757811346283894
685,0,900,900,0,13.480825043375742,1.5374999999999885,0.75,9.019174956624258,74.42548889588979,42.90631393926553
686,0,900,900,0,13.01986845640195,1.5349999999999886,0.75,9.48013154359805,74.30869993751595,42.328568393917905
687,0,900,900,0,12.415637189730134,1.5324999999999886,0.75,10.084362810269866,74.19172123059217,41.6073584203223
688,0,900,900,0,12.159898085283183,1.5299999999999887,0.75,10.340101914716817,74.07455215753679,41.23445024281997
689,0,900,900,0,12.253403005753086,1.5274999999999888,0.75,10.246596994246914,73.95719209774866,41.210595103501745
690,0,900,900,0,12.03117132875679,1.5249999999999888,0.75,10.46882867124321,73.83964042758825,40.87081175634504
691,0,900,900,0,12.071199915071,1.5224999999999889,0.75,10.428800084929,73.72189652035563,40.79309643542663
692,0,900,900,0,11.857055640288765,1.519999999999989,0.75,10.642944359711235,73.6039597462712,40.461015386559964
693,0,900,900,0,11.655802866629216,1.517499999999989,0.75,10.844197133370784,73.4858294724544,40.141632339083614
694,0,900,900,0,11.460898457665206,1.514999999999989,0.75,11.039101542334794,73.36750506290593,39.82840352057114
695,0,900,900,0,11.26907052404243,1.512499999999989,0.75,11.23092947595757,73.24898587848477,39.51805640252721
696,0,900,900,0,10.973626549869397,1.5099999999999891,0.75,11.526373450130603,73.13027127688979,39.10389782675918
697,0,900,900,0,11.361669940726578,1.5074999999999892,0.75,11.138330059273422,73.0113606126346,39.37303055336118
698,0,900,900,0,11.180870847233098,1.5049999999999892,0.75,11.319129152766902,72.89225323703259,39.073124084265686
699,0,900,900,0,10.855626501954466,1.5024999999999893,0.75,11.644373498045534,72.77294849817045,38.62857500012492
700,0,900,900,0,10.878285187924153,1.4999999999999893,0.75,11.621714812075847,72.6534457408893,38.531730928813445
701,0,900,900,0,13.421051937990333,1.4974999999999894,0.75,9.078948062009667,72.5337443067624,40.954796244752735
702,0,900,900,0,15.61291024323471,1.4949999999999894,0.75,6.88708975676529,72.41384353407409,43.0267537773088
