case,replicate,required,repairers,failure_time,busy_area,capacity_time,queue_area
3,17,20,1,179.00596561235287,47.59705768408683,179.00596561235287,12.818678773104756
3,18,20,1,7557.953597607267,1493.234077164219,7557.953597607267,312.74740668192504
3,19,20,1,642.4006642379287,118.24104631872491,642.4006642379287,16.197144907307973
3,20,20,1,474.2215059525942,82.02628615006758,474.2215059525942,31.77923820159071
3,21,20,1,58.97397665271739,12.93368392863408,58.97397665271739,3.9751432280172274
3,22,20,1,403.42543568481267,102.41187067086103,403.42543568481267,15.46214498437195
3,23,20,1,741.2328237185562,137.75303520858216,741.2328237185562,26.37115659253861
3,24,20,1,241.0725325076856,42.15127555839337,241.0725325076856,7.9532946160015925
3,25,20,1,3798.377083004581,799.6735217464833,3798.377083004581,183.42405841483824
3,26,20,1,1475.585106993314,293.4502156121023,1475.585106993314,51.49489028544493
3,27,20,1,87.39075707738414,15.206420012854721,87.39075707738414,10.115975614928502
3,28,20,1,3039.7650832815084,631.4961612011507,3039.7650832815084,119.83047343653554
3,29,20,1,80.81756532501979,11.64940436672481,80.81756532501979,2.252185178962142
3,30,20,1,1028.8128258406605,173.99982872516694,1028.8128258406605,25.89463873435198
3,31,20,1,4360.808476388348,881.2540206033087,4360.808476388348,154.95960650490377
3,32,20,1,191.965211553059,32.54605742509242,191.965211553059,6.885637275912334
3,33,20,1,906.7539238219686,203.9499273135167,906.7539238219686,31.915088912595017
3,34,20,1,661.9424831489476,108.24816819417808,661.9424831489476,21.59510225673411
3,35,20,1,217.1048434251187,21.282029887643084,217.1048434251187,2.3925444884671236
3,36,20,1,517.5940369190683,108.60720358436907,517.5940369190683,27.175525378303288
3,37,20,1,2943.0905619956516,580.8920141373264,2943.0905619956516,108.72028079842474
3,38,20,1,140.9161030821284,30.780706717663367,140.9161030821284,15.369065845952985
3,39,20,1,992.7278721993747,188.88715853100211,992.7278721993747,25.196775346159544
3,40,20,1,1234.202033246824,250.28505223825923,1234.202033246824,34.74388092760439
4,1,8,2,10420.30786702296,804.8128860141012,20840.61573404592,1.490522439851702
4,2,8,2,123675.87565508962,10181.358995101014,247351.75131017924,16.524923835337404
4,3,8,2,3492.333093202906,247.39073569713315,6984.666186405812,0.5942883588736549
4,4,8,2,89356.52200811065,7278.5363323591155,178713.0440162213,10.24117377056291
4,5,8,2,107672.80051359383,8635.513897162044,215345.60102718766,12.652372526759791
4,6,8,2,123981.33220703588,9902.769869121506,247962.66441407177,15.55614908291682
4,7,8,2,299673.01162414864,23484.271663758544,599346.0232482973,29.102821275497746
4,8,8,2,114068.3169866656,9066.402623984603,228136.6339733312,13.621280426983503
4,9,8,2,65289.82958417245,5274.915794036906,130579.6591683449,12.649611629887659
