t,S,I,R,N,Re
12.2,732.8878131836381,116.7560345572729,150.35615225908964,1000.0000000000006,1.4657756263672752
12.3,728.5971157752939,118.11087566377154,153.29200856093516,1000.0000000000006,1.457194231550587
12.4,724.2826504804407,119.45573664260641,156.2616128769534,1000.0000000000005,1.4485653009608808
12.5,719.9455128860686,120.78978185336521,159.2647052605667,1000.0000000000005,1.4398910257721367
12.6,715.5868199897947,122.11217513872379,162.30100487148218,1000.0000000000006,1.4311736399795885
12.7,711.2077087765839,123.4220812668729,165.37020995654376,1000.0000000000005,1.4224154175531671
12.8,706.8093346432732,124.71866742575429,168.4719979309731,1000.0000000000006,1.4136186692865458
12.9,702.3928706168043,126.00110396394687,171.6060254192494,1000.0000000000006,1.4047857412336078
13.0,697.9595058043883,127.26856585788424,174.77192833772804,1000.0000000000006,1.3959190116087759
13.1,693.5104436413726,128.52023426851684,177.96932209011112,1000.0000000000005,1.3870208872827445
13.2,689.0469009386775,129.75529738178236,181.19780167954073,1000.0000000000006,1.378093801877354
13.3,684.5701063961828,130.9729517170703,184.45694188674747,1000.0000000000006,1.3691402127923649
13.4,680.0812987703398,132.1724036670682,187.7462975625926,1000.0000000000007,1.3601625975406786
13.5,675.5817255725403,133.352870566408,191.06540386105215,1000.0000000000005,1.35116345114508
13.6,671.0726418177869,134.51358171239966,194.41377646981402,1000.0000000000006,1.3421452836355732
13.7,666.5553081823401,135.65377983142807,197.79091198623232,1000.0000000000006,1.3331106163646795
13.8,662.0309893097613,136.7727223705341,201.1962883197051,1000.0000000000005,1.3240619786195218
13.9,657.5009528233462,137.8696822412751,204.62936493537921,1000.0000000000005,1.3150019056466917
14.0,652.9664675197683,138.94394917059466,208.08958330963748,1000.0000000000005,1.3059329350395361
14.1,648.4288014546914,139.99483104951574,211.5763674957933,1000.0000000000005,1.2968576029093823
14.2,643.8892210467175,141.02165455795455,215.08912439532844,1000.0000000000005,1.2877784420934344
14.3,639.3489893761674,142.0237663354564,218.62724428837666,1000.0000000000005,1.2786979787523343
14.4,634.8093643494078,143.000534172458,222.19010147813466,1000.0000000000005,1.269618728698815
14.5,630.2715975311996,143.95134775213873,225.77705471666206,1000.0000000000005,1.2605431950623986
14.6,625.736932846284,144.87561945358792,229.38744770012852,1000.0000000000005,1.2514738656925675
14.7,621.2066048410801,145.77278538627007,233.0206097726503,1000.0000000000005,1.2424132096821596
14.8,616.6818372053697,146.64230621864067,236.6758565759901,1000.0000000000005,1.2333636744107388
14.9,612.163841892079,147.4836676528385,240.352490455083,1000.0000000000005,1.2243276837841572
15.0,607.6538175206938,148.29638127479524,244.04980120451143,1000.0000000000005,1.215307635041387
15.1,603.152947792113,149.07998530482388,247.76706690306355,1000.0000000000005,1.2063058955842254
15.2,598.6624007816422,149.83404492359267,251.50355429476556,1000.0000000000005,1.1973248015632838
15.3,594.1833275717534,150.55815287645217,255.25851955179488,1000.0000000000003,1.1883666551435064
15.4,589.7168608658087,151.2519300026991,259.0312091314926,1000.0000000000003,1.179433721731617
15.5,585.2641140676203,151.91502556149715,262.82086037088294,1000.0000000000005,1.17052822813524
15.6,580.826180415066,152.54711750584013,266.6267020790943,1000.0000000000005,1.1616523608301315
15.7,576.4041317654232,153.14791283289193,270.44795540168525,1000.0000000000005,1.1528082635308459
15.8,571.9990175188863,153.71714779389666,274.28383468721756,1000.0000000000005,1.143998035037772
15.9,567.6118641540972,154.2545879681401,278.133547877763,1000.0000000000003,1.135223728308194
16.0,563.2436741731032,154.76002841840713,281.9962974084901,1000.0000000000005,1.126487348346206
16.1,558.895425206794,155.23329367776142,285.87128111544496,1000.0000000000003,1.1177908504135876
