t,prey,predator,dprey_dt,dpredator_dt,prey_pct_change,predator_pct_change,invariant
115.6,31.34423316811683,10.386611153454984,-3.3767839195974356,0.13962027216806439,-10.77322230690997,1.3442331681168342,-0.7463862940689727
115.7,31.007970283227618,10.398831575332231,-3.348136181041056,0.10481713208223997,-10.797663150664464,1.007970283227625,-0.7463862939969765
115.8,30.67467169986469,10.407581377438238,-3.3175156688644005,0.07021700619396354,-10.815162754876475,0.6746716998646906,-0.7463862937723612
115.9,30.344529395165384,10.412883606399102,-3.285028114139728,0.03587544490840289,-10.825767212798205,0.3445293951653901,-0.7463862939030476
116.0,30.01772478053463,10.414766840809568,-3.2507796155637307,0.0018459945657265386,-10.829533681619132,0.017724780534626394,-0.7463862941015795
116.1,29.69442863680846,10.413264909814776,-3.2148761711326856,-0.03181995553766681,-10.826529819629554,-0.30557136319153533,-0.74638629405543
116.2,29.37480117923185,10.408416639444868,-3.177423269562846,-0.06507329809044471,-10.816833278889739,-0.6251988207681451,-0.7463862937513608
116.3,29.058992141239518,10.400265580478804,-3.1385255012747963,-0.09786731644426672,-10.800531160957606,-0.9410078587604792,-0.7463862938824636
116.4,28.747140814893196,10.388859929469717,-3.0982863044840276,-0.13015778585424131,-10.777719858939435,-1.2528591851068014,-0.7463862941176987
116.5,28.439376209807453,10.374252177532599,-3.0568075904645298,-0.1619030475371419,-10.748504355065197,-1.5606237901925453,-0.7463862941187961
116.6,28.135817247109312,10.356498831566217,-3.014189444186033,-0.19306406502138307,-10.712997663132434,-1.8641827528906885,-0.7463862937499244
116.7,27.836573016120425,10.335660079978657,-2.9705298281104966,-0.22360445913232763,-10.671320159957315,-2.163426983879576,-0.7463862938504694
116.8,27.541742836767433,10.311799720275507,-2.9259244379248246,-0.25349055528186826,-10.623599440551017,-2.458257163232565,-0.7463862941104799
116.9,27.251416576049888,10.28498478366964,-2.880466438757325,-0.28269138691973517,-10.56996956733928,-2.7485834239501132,-0.7463862941897635
117.0,26.96567491849444,10.255285259024602,-2.834246277976265,-0.3111786927945257,-10.510570518049203,-3.034325081505558,-0.7463862937771149
117.1,26.68458976849621,10.222773719502621,-2.787351483172211,-0.3389268858398702,-10.445547439005244,-3.315410231503787,-0.7463862937994379
117.2,26.408224318304807,10.187525260921804,-2.739866614945914,-0.365913054888344,-10.375050521843608,-3.591775681695192,-0.7463862940687533
117.3,26.136633445518598,10.149617149134226,-2.6918731162335545,-0.39211691434756046,-10.299234298268452,-3.863366554481402,-0.746386294265649
117.4,25.86986401361873,10.109128565429277,-2.643449224315007,-0.41752075679034295,-10.218257130858555,-4.130135986381267,-0.746386293852909
117.5,25.60795538793774,10.06614021885577,-2.5946698542699145,-0.4421093691248865,-10.132280437711543,-4.3920446120622545,-0.7463862937295459
117.6,25.35093951754525,10.020734282920554,-2.545606622799698,-0.46586999759905456,-10.04146856584111,-4.649060482454747,-0.7463862939921277
117.7,25.09884131453062,9.972994120855802,-2.49632780594907,-0.4887922675556742,-9.945988241711605,-4.901158685469374,-0.7463862943202749
117.8,24.851678976023464,9.923004044666472,-2.4468983223143246,-0.5108681034416058,-9.846008089332942,-5.148321023976535,-0.7463862940064891
117.9,24.609464541014262,9.870848962092595,-2.3973796963450758,-0.532091613404527,-9.741697924185186,-5.390535458985738,-0.7463862936779182
118.0,24.372204058371118,9.816614266202105,-2.3478301153267833,-0.5524590192786838,-9.63322853240421,-5.6277959416288805,-0.7463862939451081
118.1,24.13989779016294,9.760385711895507,-2.298304490538192,-0.571968578791409,-9.520771423791016,-5.860102209837057,-0.7463862942757562
118.2,23.912540673824182,9.702249119987599,-2.2488544668031483,-0.5906204689034964,-9.404498239975197,-6.087459326175819,-0.7463862942418991
118.3,23.69012269193215,9.64229017803579,-2.199528477784388,-0.6084166799219353,-9.28458035607158,-6.309877308067849,-0.7463862937594324
118.4,23.47262927139486,9.58059421857384,-2.1503717987055677,-0.625360902649625,-9.161188437147679,-6.527370728605138,-0.7463862937667718
118.5,23.260041315403377,9.517246202805065,-2.101426666181897,-0.641458461980402,-9.034492405610132,-6.73995868459662,-0.7463862940440357
118.6,23.052335661498443,9.452330480112428,-2.0527323340694443,-0.6567161939240842,-8.904660960224856,-6.947664338501557,-0.7463862944159624
118.7,22.849485281531138,9.385930678582815,-2.0043251697218785,-0.6711423546373485,-8.771861357165632,-7.150514718468861,-0.7463862941198931
118.8,22.651459831895,9.31812945672331,-1.9562387187578132,-0.6847464860433363,-8.636258913446623,-7.348540168104996,-0.7463862936725905
118.9,22.45822577954385,9.249008443840324,-1.9085038194190855,-0.697539334465362,-8.49801688768065,-7.541774220456148,-0.7463862938333281
119.0,22.269746471107194,9.17864821213735,-1.8611487255248824,-0.7095327773234041,-8.357296424274699,-7.730253528892807,-0.7463862941313311
119.1,22.085982609987884,9.107128069505658,-1.8141991824019006,-0.7207396991513524,-8.214256139011313,-7.914017390012115,-0.7463862945083815
119.2,21.906892339965115,9.034526024260176,-1.767678545125103,-0.7311739177172454,-8.069052048520351,-8.093107660034885,-0.7463862941945765
119.3,21.73243177620451,8.960918597127026,-1.7216078636632557,-0.7408500584962543,-7.921837194254053,-8.267568223795486,-0.7463862936829017
119.4,21.562555073034403,8.886380795691686,-1.676005998837705,-0.749783485636933,-7.772761591383372,-8.437444926965595,-0.746386293729661
119.5,21.39721443777751,8.810986110523194,-1.630889740525129,-0.7579902410055182,-7.621972221046389,-8.60278556222249,-0.7463862939911063
119.6,21.236360539365986,8.734806390239541,-1.586273900957098,-0.7654869396250137,-7.469612780479082,-8.763639460634012,-0.746386294349238
119.7,21.0799425864473,8.65791180614324,-1.5421714171957448,-0.7722907039227347,-7.315823612286479,-8.920057413552703,-0.7463862942893036
119.8,20.927908688117494,8.58037077679645,-1.4985934537280077,-0.778419071769056,-7.1607415535928975,-9.072091311882504,-0.746386293883708
119.9,20.780206002875968,8.50224993050417,-1.455549500588694,-0.7838899287131056,-7.00449986100834,-9.21979399712403,-0.7463862937203731
120.0,20.63678073862566,8.423614105314334,-1.4130474725007591,-0.7887214584126374,-6.847228210628666,-9.36321926137434,-0.746386293934417
120.1,20.497578295870337,8.344526328348868,-1.3710938055586133,-0.7929320809318368,-6.6890526566977355,-9.502421704129661,-0.7463862940885893
120.2,20.362543568677705,8.26504776027605,-1.3296935454486922,-0.7965403769245833,-6.5300955205520985,-9.637456431322294,-0.7463862941686767
120.3,20.23162098800405,8.185237703797831,-1.288850439598761,-0.7995650419397664,-6.370475407595665,-9.768379011995949,-0.7463862939929765
120.4,20.10475476022701,8.105153584256188,-1.248567026086211,-0.8020248242224002,-6.210307168512375,-9.895245239772988,-0.7463862938432613
120.5,19.981888871599576,8.024850949124527,-1.2088447103711761,-0.8039384859717913,-6.0497018982490545,-10.018111128400424,-0.7463862939151088
120.6,19.862967139335442,7.9443834714677,-1.1696838427873064,-0.8053247630798845,-5.888766942935398,-10.13703286066456,-0.746386293991851
120.7,19.747933439673893,7.863802955264483,-1.131083802898088,-0.8062023131466063,-5.727605910528966,-10.252066560326107,-0.7463862940676895
120.8,19.636731728117695,7.7831593414068685,-1.093043066876228,-0.8065896825780616,-5.566318682813737,-10.363268271882303,-0.7463862940051196
120.9,19.529306218124816,7.702500735649448,-1.0555592884241132,-0.8065052655765366,-5.405001471298896,-10.470693781875179,-0.7463862939110368
121.0,19.425601394812517,7.621873410126927,-1.0186293554556696,-0.8059672755696174,-5.243746820253853,-10.574398605187483,-0.7463862939153175
121.1,19.325562031857878,7.541321809804189,-0.9822494455656836,-0.8049937185655209,-5.082643619608378,-10.67443796814212,-0.7463862939448229
121.2,19.22913334179601,7.4608886007763076,-0.9464151008726684,-0.8036023627067574,-4.921777201552615,-10.770866658203989,-0.7463862939839995
121.3,19.136260995271705,7.380614675402044,-0.9111212751533511,-0.8018107152803524,-4.761229350804089,-10.863739004728295,-0.7463862939812813
121.4,19.046891230594394,7.300539210938855,-0.8763624024493968,-0.7996360005272383,-4.601078421877712,-10.9531087694056,-0.7463862939473646
121.5,18.960970872461996,7.22069967799264,-0.8421324382180835,-0.7970951406656503,-4.441399355985279,-11.039029127538004,-0.7463862939281998
121.6,18.87844733781842,7.141131845894428,-0.808424895920878,-0.7942047389169682,-4.282263691788855,-11.121552662181577,-0.74638629392792
121.7,18.7992687211797,7.061869851299567,-0.7752329080535878,-0.790981065304091,-4.123739702599134,-11.200731278820298,-0.7463862939328494
121.8,18.723383813953163,6.9829462087728675,-0.7425492589855538,-0.787440042441425,-3.9658924175457346,-11.276616186046835,-0.7463862939536094
121.9,18.650742162336254,6.904391883569375,-0.7103664399299658,-0.7835972369890167,-3.80878376713875,-11.349257837663744,-0.7463862939613135
122.0,18.581294082534622,6.826236307793244,-0.6786766779861695,-0.779467849218157,-3.652472615586487,-11.418705917465374,-0.7463862939398587
122.1,18.514990662350645,6.748507383744107,-0.6474719576614656,-0.775066703174967,-3.497014767488212,-11.485009337649357,-0.7463862939223553
122.2,18.451783803059456,6.671231558909253,-0.6167440681968714,-0.770408243421367,-3.3424631178185074,-11.548216196940537,-0.7463862939028262
122.3,18.39162623552509,6.594433843894407,-0.5864846262835499,-0.7655065282502926,-3.188867687788814,-11.608373764474909,-0.7463862939285713
122.4,18.334471541754535,6.518137886965369,-0.5566851177005183,-0.7603752301516247,-3.036275773930737,-11.665528458245463,-0.7463862939618632
122.5,18.28027416426977,6.442365998186466,-0.5273369178413843,-0.7550276323217591,-2.8847319963729303,-11.719725835730232,-0.7463862939479958
122.6,18.228989406308877,6.367139150928919,-0.49843130198466756,-0.7494766239708979,-2.734278301857838,-11.77101059369112,-0.7463862939219027
122.7,18.180573445622507,6.292477053070636,-0.4699594798026485,-0.743734703738741,-2.5849541061412706,-11.819426554377491,-0.7463862938879376
122.8,18.134983345461805,6.218398173203789,-0.4419126115838359,-0.7378139788961282,-2.4367963464075775,-11.865016654538191,-0.7463862939084347
122.9,18.09217705332424,6.144919808701334,-0.4142818378176534,-0.7317261710353615,-2.28983961740267,-11.907822946675758,-0.7463862939549231
123.0,18.052113403168754,6.072058117808313,-0.387058294349266,-0.7254826180094229,-2.1441162356166243,-11.947886596831246,-0.7463862939531993
123.1,18.014752115400736,5.999828119802969,-0.3602331147251536,-0.7190942728082772,-1.9996562396059385,-11.985247884599264,-0.7463862939233596
123.2,17.980053794463085,5.928243753581965,-0.33379745247556136,-0.7125717101136544,-1.8564875071639302,-12.019946205536913,-0.7463862938844879
123.3,17.947979933100946,5.857317917006919,-0.307742495414562,-0.7059251307397474,-1.7146358340138397,-12.05202006689905,-0.7463862938926671
123.4,17.91849289955745,5.787062518109413,-0.2820594828450267,-0.6991643690324381,-1.5741250362188273,-12.081507100442549,-0.7463862939422721
123.5,17.891555931262197,5.717488517958282,-0.2567397189817804,-0.6922988993334844,-1.4349770359165634,-12.108444068737802,-0.7463862939549486
123.6,17.867133134831203,5.648605930659553,-0.23177457030270632,-0.6853378373049526,-1.2972118613191044,-12.132866865168799,-0.746386293924401
123.7,17.84518947819555,5.580423860666277,-0.20715547542510948,-0.6782899465775506,-1.1608477213325525,-12.154810521804448,-0.7463862938903253
