t,S,I,R
69.0,199.39024348994786,0.1904689499927578,800.4192875600637
69.25,199.38557970135193,0.1834491696845089,800.4309711289678
69.5,199.3810879022563,0.17668800392299222,800.442224093825
69.75,199.37676174886596,0.17017593245858118,800.4530623186798
70.0,199.3725951314643,0.16390378497547753,800.4635010835644
70.25,199.36858216576928,0.1578627282676949,800.4735551059673
70.5,199.36471718460962,0.15204425388221726,800.4832385615126
70.75,199.3609947299085,0.146440166212514,800.4925651038833
71.0,199.3574095449639,0.14104257102618736,800.5015478840139
71.25,199.353956567014,0.13584386441109694,800.5101995685789
71.5,199.3506309200774,0.13083672212485725,800.5185323578014
71.75,199.34742790805868,0.12601408933314065,800.5265580026116
72.0,199.34434300810764,0.12136917072272838,800.5342878211732
72.25,199.34137186422498,0.1168954209757554,800.5417327148026
72.5,199.33851028110325,0.11258653559207195,800.5489031833083
72.75,199.33575421819654,0.10843644204711161,800.55580933976
73.0,199.3330997840081,0.10443929127310342,800.5624609247224
73.25,199.33054323059005,0.10058944945189889,800.5688673199614
73.5,199.3280809482453,0.09688149010810425,800.57503756165
73.75,199.32570946042603,0.0933101864916109,800.5809803530859
74.0,199.32342541881988,0.08987050423900844,800.5867040769448
74.25,199.32122559861804,0.08655759430374062,800.5922168070819
74.5,199.31910689395806,0.08336678614522795,800.5975263199001
74.75,199.3170663135348,0.08029358116753202,800.602640105301
75.0,199.31510097637363,0.07733364639847456,800.6075653772313
75.25,199.31320810775938,0.07448280840045217,800.6123090838437
75.5,199.311385035316,0.07173704740450142,800.616877917283
75.75,199.30962918523093,0.0690924916594746,800.6212783231132
76.0,199.30793807861835,0.06654541198847942,800.6255165093968
76.25,199.30630932801728,0.06409221654501863,800.6295984554413
76.5,199.30474063401857,0.06172944576154025,800.6335299202232
76.75,199.3032297820167,0.05945376748337045,800.6373164505032
77.0,199.3017746390814,0.05726197228125779,800.6409633886406
77.25,199.30037315094424,0.055150968936000355,800.6444758801229
77.5,199.29902333909754,0.053117780088865585,800.6478588808168
77.75,199.2977232979989,0.05115953805173958,800.6511171639526
78.0,199.29647119238027,0.04927348077116309,800.6542553268517
78.25,199.29526525465562,0.04745694794062332,800.6572777974069
78.5,199.294103782424,0.04570737725567522,800.6601888403233
78.75,199.29298513606582,0.044022300806662994,800.6629925631302
79.0,199.29190773642637,0.04239934160400293,800.6656929219722
79.25,199.29087006258624,0.040836210231171705,800.6682937271853
79.5,199.28987064971295,0.03933070162072124,800.670798648669
79.75,199.28890808699245,0.037880691948811406,800.6732112210613
80.0,199.28798101563675,0.03648413564391621,800.6755348487219
