time,transition,failed,working,spares,busy_repairers,repair_queue
578.6562025742236,interval_end,0,10,3,0,0
578.6562025742236,machine_failure,1,10,2,1,0
579.4409894515383,interval_end,1,10,2,1,0
579.4409894515383,repair_complete,0,10,3,0,0
585.8641221097267,interval_end,0,10,3,0,0
585.8641221097267,machine_failure,1,10,2,1,0
586.3442719800685,interval_end,1,10,2,1,0
586.3442719800685,repair_complete,0,10,3,0,0
592.9716604215458,interval_end,0,10,3,0,0
592.9716604215458,machine_failure,1,10,2,1,0
595.2387130472083,interval_end,1,10,2,1,0
595.2387130472083,repair_complete,0,10,3,0,0
603.7500031099972,interval_end,0,10,3,0,0
603.7500031099972,machine_failure,1,10,2,1,0
603.7650408749638,interval_end,1,10,2,1,0
603.7650408749638,repair_complete,0,10,3,0,0
618.7111406240538,interval_end,0,10,3,0,0
618.7111406240538,machine_failure,1,10,2,1,0
620.4742417041717,interval_end,1,10,2,1,0
620.4742417041717,repair_complete,0,10,3,0,0
628.7067947048977,interval_end,0,10,3,0,0
628.7067947048977,machine_failure,1,10,2,1,0
631.0367609401177,interval_end,1,10,2,1,0
631.0367609401177,repair_complete,0,10,3,0,0
648.324891730904,interval_end,0,10,3,0,0
648.324891730904,machine_failure,1,10,2,1,0
649.1859269319677,interval_end,1,10,2,1,0
649.1859269319677,repair_complete,0,10,3,0,0
652.4073267810959,interval_end,0,10,3,0,0
652.4073267810959,machine_failure,1,10,2,1,0
653.1148209642794,interval_end,1,10,2,1,0
653.1148209642794,machine_failure,2,10,1,1,1
653.38967802075,interval_end,2,10,1,1,1
653.38967802075,repair_complete,1,10,2,1,0
653.7119509566687,interval_end,1,10,2,1,0
653.7119509566687,repair_complete,0,10,3,0,0
653.959695653319,interval_end,0,10,3,0,0
653.959695653319,machine_failure,1,10,2,1,0
655.9638413319736,interval_end,1,10,2,1,0
655.9638413319736,repair_complete,0,10,3,0,0
673.1401265579149,interval_end,0,10,3,0,0
673.1401265579149,machine_failure,1,10,2,1,0
674.8193907215681,interval_end,1,10,2,1,0
674.8193907215681,repair_complete,0,10,3,0,0
685.69934029307,interval_end,0,10,3,0,0
